feature,mean_abs_shap_value
discharge_disposition_id,0.28550234
number_inpatient,0.09578976
time_in_hospital,0.08750819
age_numeric,0.081059635
num_lab_procedures,0.07440205
num_medications,0.06532217
diag_1_category_Circulatory,0.062085196
total_prior_visits,0.058491614
num_medications_prescribed,0.056952573
diag_1_category_Respiratory,0.039307535
admission_source_id,0.038566276
number_diagnoses,0.034747172
metformin,0.03299844
num_medications_changed,0.027979864
num_procedures,0.025653325
medical_specialty_Cardiology,0.02431314
diag_1_category_Musculoskeletal,0.021697093
medical_specialty_Emergency/Trauma,0.018915426
glipizide,0.018506436
admission_type_id,0.01843262
A1Cresult_Not Tested,0.016611878
insulin,0.016068099
medical_specialty_Orthopedics-Reconstructive,0.015035812
had_prior_inpatient_visit,0.014680013
pioglitazone,0.013592994
number_emergency,0.0128758475
gender_Male,0.012262711
diag_1_category_Diabetes,0.011233306
medical_specialty_InternalMedicine,0.010957484
number_outpatient,0.010736357
diabetesMed_No,0.010136411
A1Cresult_>8,0.009759351
medical_specialty_Family/GeneralPractice,0.009263292
diag_1_category_Other,0.0083391275
race_Caucasian,0.007808623
race_Hispanic,0.007491292
medical_specialty_Unknown,0.0073138704
gender_Female,0.0072683212
A1Cresult_Norm,0.0061975652
medical_specialty_Radiologist,0.005912651
race_Unknown,0.00584833
A1Cresult_>7,0.005556912
diag_1_category_Genitourinary,0.005294637
glyburide,0.0050856234
medical_specialty_Orthopedics,0.0048902226
diag_1_category_Injury,0.004813368
medical_specialty_Other,0.004706336
diag_1_category_Digestive,0.0045906706
change_Ch,0.004526632
change_No,0.004455756
medical_specialty_Surgery-General,0.0041699
max_glu_serum_Not Tested,0.0036560833
medical_specialty_Nephrology,0.0035252115
race_AfricanAmerican,0.0033333444
repaglinide,0.0032627953
glimepiride,0.0031458393
glyburide-metformin,0.0027024068
race_Other,0.0026625497
diag_1_category_Neoplasms,0.0026512132
max_glu_serum_Norm,0.0026248188
rosiglitazone,0.0026202383
diabetesMed_Yes,0.0024237242
nateglinide,0.0015096099
acarbose,0.0012413524
race_Asian,0.0010944364
max_glu_serum_>300,0.0009903847
tolazamide,0.0008659416
max_glu_serum_>200,0.0006053848
chlorpropamide,0.00044369895
miglitol,9.3751674e-05
acetohexamide,0.0
gender_Unknown/Invalid,0.0
metformin-rosiglitazone,0.0
tolbutamide,0.0
metformin-pioglitazone,0.0
troglitazone,0.0
examide,0.0
citoglipton,0.0
glipizide-metformin,0.0
glimepiride-pioglitazone,0.0
diag_1_category_Unknown,0.0
